Filename,psb_thfdmf_01_5,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,19/12/2019,,,,,,,,,,
Sample name,PSB_THFDMF_01_5,,,,,,,,,,
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-6.71748,7.87E-03,0.033152,0.595811,19.99,262.461,0.371046,20.0391,394.219,0.595811,-379.865,0.0141975
8.89766,8.81E-03,0.0330238,12.3863,19.99,266.507,0.376765,20.0278,4261090,12.3863,503.151,1.38E-04
11.7301,0.01,0.0326718,18.5467,19.99,276.578,0.391002,20.0206,4767950,18.5467,663.323,1.33E-04
11.4401,0.0115,0.0322951,25.9523,19.99,261.621,0.369858,20.0282,3816280,25.9523,646.925,1.44E-04
11.3218,0.0134,0.0319001,33.2923,20,253.235,0.358002,20.0227,3065450,33.2923,640.234,1.58E-04
11.0419,0.0152,0.0315684,40.6324,19.99,242.971,0.343492,20.0294,2437350,40.6324,624.403,1.74E-04
10.3661,0.0172959,0.0311972,47.9724,20,234.912,0.332099,20.0145,1979000,47.9724,586.189,1.90E-04
9.83292,0.019828,0.0308245,55.3124,20,231.007,0.326578,20.0242,1618550,55.3124,556.039,2.08E-04
9.53871,0.0227305,0.0304652,62.718,20,222.307,0.314279,20.0277,1299320,62.718,539.401,2.28E-04
9.16991,0.0258451,0.0301366,70.1236,20,217.874,0.308011,20.0283,1059920,70.1236,518.546,2.49E-04
8.71866,0.0298734,0.0297328,77.4636,20,212.332,0.300178,20.0247,861644,77.4636,493.029,2.73E-04
8.43915,0.0338311,0.029334,84.8036,20,204.303,0.288827,20.0237,691826,84.8036,477.222,2.99E-04
8.04111,0.0382075,0.0289747,92.1436,20,203.235,0.287317,20.0255,575871,92.1436,454.714,3.27E-04
7.75997,0.0425649,0.0286449,99.4837,20,194.322,0.274717,20.0269,457401,99.4837,438.816,3.59E-04
7.2834,0.0480056,0.028294,106.889,20,188.624,0.266661,20.0215,369170,106.889,411.866,3.93E-04
6.73048,0.0542248,0.0279663,114.295,20,183.761,0.259786,20.0342,300500,114.295,380.6,4.30E-04
6.64062,0.0621525,0.0276135,121.635,20,179.241,0.253396,20.0198,244037,121.635,375.518,4.72E-04
6.36075,0.0703868,0.0272431,128.975,20,176.523,0.249554,20.0273,200099,128.975,359.692,5.17E-04
6.15212,0.0794919,0.0269094,136.315,20,172.744,0.244211,20.0306,163412,136.315,347.894,5.66E-04
5.69839,0.0885577,0.0266032,143.655,20,165.051,0.233335,20.031,129401,143.655,322.236,6.21E-04
4.85337,0.0993306,0.0263082,151.061,20,158.027,0.223405,20.0273,103591,151.061,274.452,6.80E-04
4.44612,0.113403,0.0260245,158.466,19.99,152.221,0.215197,20.0234,83199,158.466,251.422,7.44E-04
4.31093,0.131249,0.0257289,165.806,20,149.98,0.21203,20.022,68133.4,165.806,243.777,8.16E-04
4.08986,0.149365,0.025469,173.146,20,147.992,0.209219,20.0195,56228.5,173.146,231.276,8.93E-04
3.98254,0.169913,0.0251695,180.486,20,141.825,0.2005,20.0191,44884.9,180.486,225.207,9.78E-04
3.64207,0.190325,0.0248831,187.826,20,140.854,0.199128,20.0216,37347.4,187.826,205.954,1.07E-03
3.43538,0.217479,0.0245785,195.232,19.99,135.735,0.191891,20.0195,29893.5,195.232,194.266,1.17E-03
3.21082,0.244743,0.0242774,202.637,20,131.056,0.185276,20.0211,24006.7,202.637,181.568,1.29E-03
2.80298,0.27829,0.0239837,209.977,20,124.508,0.176019,20.0206,19027.4,209.977,158.505,1.41E-03
2.73553,0.312425,0.0237237,217.317,20,119.306,0.168665,20.02,15183,217.317,154.691,1.54E-03
2.55756,0.348222,0.0234375,224.657,20,115.225,0.162895,20.0246,12232.4,224.657,144.627,1.69E-03
2.36922,0.392875,0.023168,231.997,20,111.458,0.157569,20.0273,9861.8,231.997,133.976,1.85E-03
2.23984,0.452436,0.0228806,239.403,20,108.787,0.153794,20.0308,8016.43,239.403,126.66,2.03E-03
2.21807,0.509156,0.0226003,246.809,20,108.69,0.153657,20.033,6656.3,246.809,125.429,2.22E-03
2.19137,0.578947,0.0223269,254.149,20,107.131,0.151453,20.0353,5475.63,254.149,123.919,2.43E-03
2.14858,0.640567,0.022102,261.489,20,107.455,0.151911,20.0278,4575.67,261.489,121.5,2.67E-03
2.08459,0.731502,0.0218296,268.829,20,105.554,0.149224,20.0263,3744.99,268.829,117.881,2.92E-03
1.8917,0.827257,0.0216099,276.169,20,102.984,0.14559,20.0223,3048.09,276.169,106.973,3.20E-03
1.78281,0.941124,0.0213756,283.574,20,100.849,0.142571,20.0238,2481.25,283.574,100.816,3.51E-03
1.58466,1.05911,0.0211137,290.98,20,95.4635,0.134958,20.0244,1955.89,290.98,89.6104,3.84E-03
1.4862,1.19632,0.020871,298.32,20,90.4241,0.127834,20.0306,1545.21,298.32,84.0424,4.21E-03
1.5436,1.36179,0.0206624,305.66,20,92.0954,0.130197,20.0317,1311.85,305.66,87.2885,4.61E-03
1.40431,1.54036,0.0205216,313,20,91.1032,0.128794,20.0181,1080.65,313,79.4117,5.05E-03
1.26947,1.74213,0.0204609,320.34,20,88.3354,0.124881,20.0228,874.137,320.34,71.7871,5.53E-03
1.22458,1.95188,0.0204408,327.746,20,87.773,0.124086,20.0247,722.978,327.746,69.2485,6.06E-03
1.12058,2.23132,0.0204951,335.151,20,79.9193,0.112983,20.0294,547.675,335.151,63.3675,6.65E-03
0.998566,2.51912,0.020566,342.491,20,74.9051,0.105895,20.0217,428.062,342.491,56.4676,7.28E-03
0.934399,2.86174,0.0206545,349.831,20,71.989,0.101772,20.0341,342.893,349.831,52.839,7.97E-03
0.993246,3.23838,0.0207329,357.171,20,75.9281,0.107341,20.0231,301.638,357.171,56.1667,8.73E-03
0.96099,3.73837,0.0206777,364.511,20,74.398,0.105178,20.0292,246.249,364.511,54.3427,9.56E-03
0.780805,4.18535,0.0204755,371.917,20,63.5647,0.0898625,20.0265,175.119,371.917,44.1535,0.0104831
0.710341,4.49439,0.0202292,379.322,20,59.9601,0.0847667,20.0247,137.531,379.322,40.1688,0.0114889
